CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Suwalki,Population on the 1st of January, total	:	57,627	63,913	:	:	66,624	67,254	67,742	68,331	68,815	68,889 e	68,851 e	68,923	69,014 e	69,113 e	69,268 e	69,246 e	69,281 e	69,554 e	69,499 e	:	69,210 de	69,404 de	69,317 de	69,316 de	:	:	:	:	:
Konin,Population on the 1st of January, total	:	78,817	81,460	:	:	83,008	83,160	83,357	83,426	83,462	82,640 e	82,500 e	82,353	81,774 e	81,266 e	80,838 e	80,471 e	80,140 e	79,829 e	79,516 e	:	78,209 de	77,847 de	77,224 de	76,547 de	:	:	:	:	:
Zory,Population on the 1st of January, total	:	65,424	66,188	:	:	66,219	66,224	66,306	66,209	65,809	63,533 e	63,511 e	63,461	63,281 e	62,964 e	62,849 e	62,416 e	62,008 e	62,044 e	62,022 e	:	62,110 de	62,052 de	62,038 de	62,051 de	:	:	:	:	:
Czestochowa,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	253,133 e	251,932 e	251,436	249,453 e	248,032 e	246,890 e	245,030 e	242,300 e	240,612 e	239,319 e	:	235,798 de	234,472 de	232,318 de	230,123 de	:	:	:	:	:
Radom,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	230,492 e	229,987 e	229,699	228,290 e	227,613 e	227,018 e	225,810 e	224,857 e	224,226 e	223,397 e	:	220,602 de	219,703 de	218,466 de	217,201 de	:	:	:	:	:
Plock,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	128,580 e	128,359 e	128,361	128,145 e	127,841 e	127,461 e	127,224 e	126,968 e	126,709 e	126,542 e	:	124,318 de	123,627 de	122,815 de	122,224 de	:	:	:	:	:
Kalisz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	110,104 e	109,680 e	109,498	108,920 e	108,792 e	108,841 e	108,477 e	108,031 e	107,140 e	107,019 e	:	105,122 de	104,676 de	103,997 de	103,373 de	:	:	:	:	:
Koszalin,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	108,899 e	108,582 e	108,709	107,877 e	107,773 e	107,886 e	107,693 e	107,376 e	107,146 e	106,987 e	:	109,233 de	109,343 de	109,170 de	108,605 de	:	:	:	:	:
Slupsk,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,542 de	94,849 de	93,936 de	93,206 de	:	:	:	:	:
Jastrzebie-Zdrój,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	92,105 de	91,723 de	91,235 de	90,794 de	:	:	:	:	:
Siedlce,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	76,480 de	76,393 de	76,347 de	76,603 de	:	:	:	:	:
Piotrków Trybunalski,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	76,505 de	76,404 de	75,903 de	75,608 de	:	:	:	:	:
Lubin,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	75,147 de	74,669 de	74,053 de	73,658 de	:	:	:	:	:
Pila,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,818 de	74,930 de	74,609 de	74,333 de	:	:	:	:	:
Inowroclaw,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	75,938 de	75,517 de	75,001 de	74,564 de	:	:	:	:	:
Ostrowiec Swietokrzyski,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	73,300 de	72,871 de	72,277 de	71,728 de	:	:	:	:	:
Gniezno,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,263 de	70,141 de	69,883 de	69,686 de	:	:	:	:	:
Stargard Szczecinski,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,771 de	69,724 de	69,328 de	68,922 de	:	:	:	:	:
Ostrów Wielkopolski,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,907 de	72,933 de	72,890 de	72,754 de	:	:	:	:	:
Przemysl,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,728 de	64,276 de	63,638 de	63,441 de	:	:	:	:	:
Zamosc,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,784 de	65,612 de	65,255 de	65,055 de	:	:	:	:	:
Chelm,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	66,176 de	65,897 de	65,481 de	64,855 de	:	:	:	:	:
Pabianice,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	68,922 de	68,321 de	67,688 de	67,207 de	:	:	:	:	:
Glogów,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,259 de	69,185 de	68,997 de	68,836 de	:	:	:	:	:
Stalowa Wola,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,756 de	64,189 de	63,692 de	63,291 de	:	:	:	:	:
Tomaszów Mazowiecki,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	65,834 de	65,454 de	64,893 de	64,513 de	:	:	:	:	:
Lomza,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,070 de	62,812 de	62,711 de	62,779 de	:	:	:	:	:
Leszno,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,713 de	64,722 de	64,589 de	64,616 de	:	:	:	:	:
Swidnica,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,213 de	59,737 de	59,182 de	58,802 de	:	:	:	:	:
Zgierz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,163 de	57,803 de	57,503 de	57,390 de	:	:	:	:	:
Tczew,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	60,809 de	60,769 de	60,610 de	60,573 de	:	:	:	:	:
Elk,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	59,274 de	59,646 de	59,790 de	60,103 de	:	:	:	:	:
Gdynia,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	253,387 e	253,364 e	253,458	253,500 e	253,324 e	:	:	:	249,257 e	:	:	248,939 de	248,726 de	248,042 de	247,820 de	:	:	:	:	:
Sosnowiec,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	234,486 e	233,200 e	232,622	229,989 e	228,192 e	:	:	:	221,259 e	:	:	215,262 de	213,513 de	211,275 de	209,274 de	:	:	:	:	:
Gliwice,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	205,092 e	204,175 e	203,814	201,586 e	200,361 e	:	:	:	196,669 e	:	:	186,868 de	186,210 de	185,450 de	184,415 de	:	:	:	:	:
Zabrze,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	197,111 e	195,666 e	195,293	193,665 e	192,546 e	:	:	:	188,401 e	:	:	180,332 de	179,452 de	178,357 de	177,188 de	:	:	:	:	:
Bytom,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	195,807 e	194,109 e	193,546	191,060 e	189,535 e	:	:	:	183,829 e	:	:	176,106 de	174,724 de	173,439 de	172,306 de	:	:	:	:	:
Bielsko-Biala,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	178,611 e	178,313 e	178,028	177,390 e	176,987 e	:	:	:	175,677 e	:	:	174,503 de	174,370 de	173,699 de	173,013 de	:	:	:	:	:
Ruda Slaska,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	152,280 e	151,039 e	150,595	148,361 e	147,403 e	:	:	:	143,930 e	:	:	143,024 de	142,346 de	141,521 de	140,669 de	:	:	:	:	:
Rybnik,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	143,218 e	142,816 e	142,731	142,272 e	141,755 e	:	:	:	141,177 e	:	:	140,944 de	140,789 de	140,173 de	140,052 de	:	:	:	:	:
Tychy,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	133,463 e	133,047 e	132,816	132,151 e	131,547 e	:	:	:	129,475 e	:	:	129,322 de	129,112 de	128,799 de	128,621 de	:	:	:	:	:
Walbrzych,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	131,675 e	130,668 e	130,268	128,809 e	127,566 e	:	:	:	122,411 e	:	:	119,955 de	119,171 de	117,926 de	116,691 de	:	:	:	:	:
Elblag,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	128,305 e	128,226 e	128,134	127,941 e	127,655 e	:	:	:	126,439 e	:	:	124,257 de	123,659 de	122,899 de	122,368 de	:	:	:	:	:
Wloclawek,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	121,833 e	121,370 e	121,229	120,728 e	120,369 e	:	:	:	118,042 e	:	:	116,345 de	115,546 de	114,885 de	113,939 de	:	:	:	:	:
Tarnów,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	120,822 e	120,085 e	119,913	118,668 e	118,267 e	:	:	:	115,518 e	:	:	113,593 de	112,952 de	112,120 de	111,376 de	:	:	:	:	:
Chorzów,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	118,708 e	117,801 e	117,430	115,844 e	115,241 e	:	:	:	113,314 e	:	:	111,536 de	111,168 de	110,761 de	110,337 de	:	:	:	:	:
Legnica,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	107,416 e	107,203 e	107,100	106,525 e	106,143 e	:	:	:	104,489 e	:	:	102,979 de	102,422 de	101,992 de	101,343 de	:	:	:	:	:
Grudziadz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	100,878 e	100,400 e	100,376	100,024 e	99,827 e	:	:	:	99,134 e	:	:	98,438 de	97,971 de	97,676 de	97,176 de	:	:	:	:	:
Portugal,Population on the 1st of January, total	:	9,867,147	9,974,591 e	9,990,590 e	10,017,571 e	10,043,180 e	10,072,542 e	10,109,697 e	10,148,883 e	10,195,014 e	10,256,658 e	10,356,117	10,407,465 e	10,474,685 e	10,529,255 e	10,569,592 e	10,599,095 e	10,617,575 e	10,627,250 e	10,637,713 e	10,573,479 be	10,572,721 e	10,542,398 e	10,487,289 e	10,427,301 e	10,374,822 e	10,341,330	10,309,573	10,291,027 e	10,276,617 e
Lisboa,Population on the 1st of January, total	:	663,394	659,536 e	649,366 e	639,675 e	629,624 e	619,704 e	606,480 e	593,087 e	580,436 e	568,444 e	564,657	549,766 e	540,022 e	529,485 e	519,795 e	509,751 e	499,700 e	489,562 e	479,884 e	549,998 be	548,422 e	537,412 e	524,282 e	511,667 e	509,312 e	504,471	504,964	506,088 e	507,220 e
Lisboa (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	1,799,346 e	1,796,354	1,806,172 e	1,808,886 e	1,807,939 e	1,806,087 e	1,801,940 e	1,797,188 e	1,790,389 e	1,784,236 e	1,857,112 be	1,863,069 e	1,860,256 e	1,849,472 e	1,837,852 e	1,835,785 e	1,835,894	1,842,352	1,851,077 e	1,859,838 e
Porto,Population on the 1st of January, total	:	302,472	297,253 e	293,610 e	290,112 e	286,465 e	282,522 e	277,275 e	272,001 e	266,683 e	261,361 e	263,131	250,877 e	244,998 e	238,954 e	233,465 e	227,790 e	221,800 e	216,080 e	210,558 e	241,254 be	238,046 e	233,061 e	227,535 e	222,252 e	218,231 e	214,579	214,119	214,587 e	215,284 e
Porto (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	980,311 be	978,256 e	975,300 e	968,905 e	962,418 e	956,023 e	950,728	948,613	949,694 e	951,805 e
Braga,Population on the 1st of January, total	:	141,256	144,951 e	146,918 e	149,098 e	151,071 e	153,202 e	155,161 e	157,300 e	159,507 e	161,936 e	164,192	166,803 e	168,927 e	170,858 e	172,571 e	173,946 e	175,063 e	176,154 e	177,183 e	180,414 be	181,481 e	182,176 e	182,110 e	181,847 e	181,553 e	181,502	181,182	181,382 e	181,919 e
Funchal,Population on the 1st of January, total	:	115,403	113,678 e	113,484 e	112,016 e	110,419 e	108,795 e	106,998 e	105,252 e	103,578 e	102,633 e	103,961	101,458 e	101,256 e	100,847 e	100,331 e	99,759 e	99,214 e	98,583 e	97,793 e	111,599 be	111,990 e	109,990 e	109,149 e	108,053 e	106,721 e	105,562	104,813	104,442 e	104,129 e
Coimbra,Population on the 1st of January, total	:	139,052	138,150 e	138,648 e	140,070 e	141,630 e	143,072 e	143,790 e	144,609 e	145,355 e	146,259 e	148,443	145,173 e	143,829 e	142,408 e	140,840 e	139,083 e	137,212 e	135,314 e	133,426 e	144,301 be	143,589 e	141,360 e	139,151 e	136,964 e	135,592 e	134,578	134,348	134,156 e	133,724 e
Setúbal,Population on the 1st of January, total	:	103,634	106,836 e	107,334 e	108,021 e	108,593 e	109,267 e	110,314 e	111,276 e	112,439 e	113,811 e	113,934	117,064 e	118,696 e	120,117 e	121,384 e	122,554 e	123,564 e	124,459 e	125,293 e	120,643 be	121,257 e	120,864 e	119,799 e	118,689 e	118,166 e	117,780	116,979	116,330 e	115,758 e
Ponta Delgada,Population on the 1st of January, total	:	61,989	61,795 e	62,822 e	63,251 e	63,646 e	64,028 e	64,202 e	64,444 e	64,619 e	64,544 e	65,854	64,616 e	64,602 e	64,516 e	64,497 e	64,384 e	64,246 e	64,092 e	63,933 e	68,679 be	68,795 e	68,846 e	68,876 e	68,768 e	68,517 e	68,403	68,352	68,055 e	67,864 e
Aveiro,Population on the 1st of January, total	:	66,444	66,576 e	67,274 e	68,136 e	68,994 e	69,946 e	70,505 e	71,079 e	71,689 e	72,432 e	73,335	73,332 e	73,521 e	73,626 e	73,657 e	73,559 e	73,347 e	73,100 e	72,919 e	78,084 be	78,463 e	78,093 e	77,675 e	77,229 e	76,935 e	76,882	77,241	77,630 e	77,916 e
Faro,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	56,552 e	58,051	57,679 e	58,060 e	58,305 e	58,554 e	58,664 e	58,739 e	58,698 e	58,675 e	64,032 be	64,600 e	63,172 e	62,281 e	61,334 e	61,214 e	61,019	61,073	60,920 e	60,974 e
Seixal,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	157,571 be	158,285 e	160,237 e	161,436 e	162,516 e	163,737 e	164,625	165,123	165,971 e	166,835 e
Amadora,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	175,274 be	175,141 e	175,738 e	175,631 e	175,354 e	175,952 e	176,644	178,169	179,942 e	181,724 e
Almada,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	173,030 be	174,237 e	173,574 e	172,206 e	170,756 e	170,139 e	169,689	169,330	169,152 e	168,987 e
Odivelas,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	143,257 be	144,444 e	146,970 e	148,791 e	150,419 e	152,840 e	154,462	156,083	157,829 e	159,602 e
Viseu,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	98,914 be	99,313 e	99,093 e	98,778 e	98,424 e	98,093 e	98,164	97,849	97,423 e	96,991 e
Valongo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	93,362 be	93,901 e	94,577 e	94,884 e	95,123 e	95,087 e	95,188	95,411	95,908 e	96,570 e
Viana do Castelo,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	89,210 be	88,851 e	88,522 e	87,896 e	87,243 e	86,620 e	86,136	85,445	85,017 e	84,636 e
Paredes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	86,836 be	86,849 e	87,159 e	87,020 e	86,876 e	86,668 e	86,554	86,263	86,115 e	86,072 e
Barreiro,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,025 be	78,913 e	78,574 e	77,941 e	77,212 e	76,775 e	76,433	75,978	75,715 e	75,419 e
Póvoa de Varzim,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	63,674 be	63,483 e	63,504 e	63,282 e	62,999 e	62,707 e	62,522	62,344	62,376 e	62,510 e
Sintra,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	362,976 e	363,749	387,479 e	398,992 e	409,482 e	419,382 e	428,470 e	437,471 e	445,872 e	454,188 e	376,921 be	377,680 e	379,786 e	379,963 e	379,756 e	380,934 e	382,521	383,946	386,038 e	388,434 e
Vila Nova de Gaia,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	284,683 e	288,749	293,301 e	297,296 e	300,868 e	304,274 e	307,444 e	310,086 e	312,742 e	315,382 e	302,084 be	302,541 e	303,430 e	303,149 e	302,828 e	301,819 e	301,172	300,001	299,820 e	299,938 e
Matosinhos,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	164,953 e	167,026	167,041 e	167,840 e	168,451 e	168,837 e	169,104 e	169,122 e	169,261 e	169,303 e	175,223 be	175,600 e	175,869 e	175,321 e	174,690 e	174,045 e	173,451	173,339	173,753 e	174,382 e
Gondomar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	162,076 e	164,096	166,000 e	167,698 e	169,239 e	170,621 e	171,881 e	172,904 e	173,910 e	174,878 e	168,388 be	168,168 e	168,363 e	168,016 e	167,525 e	166,841 e	166,338	165,743	165,626 e	165,631 e
Guimarães,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	157,712 e	159,576	160,190 e	161,129 e	161,876 e	162,234 e	162,572 e	162,618 e	162,636 e	162,592 e	159,010 be	158,211 e	158,048 e	157,214 e	156,310 e	155,508 e	154,920	153,995	153,294 e	152,792 e
Vila Franca de Xira,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	122,596 e	122,908	127,945 e	130,626 e	133,224 e	135,651 e	137,915 e	140,091 e	142,163 e	144,123 e	135,572 be	136,875 e	138,142 e	138,710 e	139,110 e	139,918 e	140,614	140,844	141,227 e	141,603 e
Romania,Population on the 1st of January, total	:	23,192,274	22,810,035	22,778,533	22,748,027	22,712,394	22,656,145	22,581,862	22,526,093	22,488,595	22,455,485	21,833,483	:	:	21,658,528	21,610,213	21,565,119	22,561,686	22,541,941	22,516,004	22,480,599 b	22,433,741	22,390,978	22,346,178	22,298,253	22,260,798	:	22,193,562 d	22,170,586 d	:
Bucuresti,Population on the 1st of January, total	:	2,107,080	2,067,545	:	:	2,042,562	2,037,278	2,021,065	2,013,911	2,010,050	1,996,612	1,936,724	1,926,334	:	1,927,448	1,930,390	1,940,486	1,943,981	1,944,367	1,944,451	2,161,874 b	2,158,758	2,148,098	2,134,030	2,110,878	2,107,399	:	2,112,483 d	2,131,034 d	:
Cluj-Napoca,Population on the 1st of January, total	:	325,090	328,602	:	:	334,079	332,297	333,607	331,476	334,543	332,617	299,541	317,953	:	311,528	297,568	311,391	309,338	306,474	307,215	319,582 b	320,042	320,400	320,819	321,427	321,916	:	323,484 d	324,960 d	:
Timisoara,Population on the 1st of January, total	:	339,092	334,115	:	:	333,000	332,277	326,958	329,111	330,666	329,896	307,786	317,660	:	303,908	303,224	308,050	312,362	311,586	311,440	334,764 b	334,507	333,749	333,650	333,825	333,210	:	330,014 d	328,186 d	:
Craiova,Population on the 1st of January, total	:	306,504	303,959	:	:	306,338	310,838	314,437	314,920	314,114	312,223	301,364	302,601	:	299,494	299,198	300,632	299,559	298,928	299,579	311,909 b	310,988	309,208	308,144	307,193	305,946	:	302,783 d	301,269 d	:
Braila,Population on the 1st of January, total	:	249,662	234,110	:	:	235,909	235,243	234,201	233,447	231,974	230,911	223,113	216,292	:	218,984	218,053	216,321	214,045	212,501	211,161	221,636 b	219,702	217,493	215,319	213,089	210,699	:	205,172 d	202,740 d	:
Oradea,Population on the 1st of January, total	:	230,276	222,741	:	:	223,913	223,680	223,190	221,824	221,953	221,688	209,939	206,614	:	206,463	205,901	206,080	205,327	204,477	204,880	225,303 b	224,722	224,049	223,718	223,317	222,850	:	221,796 d	221,407 d	:
Bacau,Population on the 1st of January, total	:	199,623	205,029	:	:	209,339	208,565	210,042	210,469	209,121	206,652	185,022	175,500	:	181,126	180,249	179,442	178,135	177,087	175,867	196,871 b	195,973	195,088	194,952	196,447	197,362	:	197,285 d	197,155 d	:
Arad,Population on the 1st of January, total	:	198,844	190,114	:	:	186,911	185,475	185,272	184,290	183,928	183,411	172,759	172,827	:	169,327	168,052	167,827	166,633	166,003	165,014	182,813 b	182,017	181,025	180,224	179,716	179,155	:	177,464 d	176,846 d	:
Sibiu,Population on the 1st of January, total	:	182,923	169,656	:	:	169,723	169,460	170,038	169,299	168,263	168,260	156,530	154,892	:	154,543	154,549	154,507	153,842	154,548	154,080	169,496 b	169,634	169,751	169,741	169,820	169,880	:	169,177 d	168,697 d	:
Târgu Mures,Population on the 1st of January, total	:	171,211	164,445	:	:	166,593	166,099	165,835	164,928	164,035	163,148	151,932	150,041	:	147,734	147,000	146,509	145,470	145,151	144,370	153,708 b	153,067	152,287	151,684	151,129	150,286	:	148,490 d	147,674 d	:
Piatra Neamt,Population on the 1st of January, total	:	119,628	123,360	:	:	126,180	125,803	125,050	124,859	124,607	123,739	113,546	104,914	:	:	109,820	109,073	108,229	:	:	119,154 b	118,331	117,612	116,833	116,355	115,369	:	113,396 d	112,786 d	:
Calarasi,Population on the 1st of January, total	:	75,954	76,952	:	:	78,336	77,856	77,819	77,669	77,151	77,025	73,763	70,039	:	73,766	73,994	73,872	73,237	73,001	73,077	79,825 b	79,525	79,045	78,553	78,102	77,735	:	76,380 d	75,810 d	:
Giurgiu,Population on the 1st of January, total	:	71,913	74,191	:	:	74,126	73,621	73,260	72,763	72,296	71,963	71,227	69,345	:	70,004	69,707	69,183	68,506	67,942	67,700	71,996 b	71,526	70,805	70,194	69,674	69,105	:	67,721 d	67,121 d	:
Alba Iulia,Population on the 1st of January, total	:	73,196	71,168	:	:	73,154	72,405	72,405	72,615	71,995	71,651	67,358	66,406	:	66,293	67,065	66,642	66,775	67,970	68,450	73,175 b	73,377	73,421	73,717	73,979	74,283	:	74,574 d	74,659 d	:
Focsani,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	103,264	:	:	101,384	:	:	:	98,467	98,146	96,852 b	96,498	95,858	95,470	95,127	94,474	:	92,936 d	92,205 d	:
Târgu Jiu,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	95,840	:	:	96,211	:	:	:	95,669	96,235	98,576 b	98,477	97,923	97,643	97,336	96,887	:	95,869 d	95,351 d	:
Tulcea,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	93,386	:	:	92,731	:	:	:	91,067	90,809	92,764 b	92,357	91,598	91,101	90,503	89,747	:	87,698 d	86,520 d	:
Târgoviste,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	91,297	:	:	90,715	:	:	:	88,458	88,201	96,607 b	96,163	95,556	94,819	94,240	93,626	:	92,090 d	91,884 d	:
Slatina,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	81,535	:	:	80,585	:	:	:	77,177	77,335	87,361 b	86,930	85,924	85,430	85,074	84,593	:	83,389 d	82,931 d	:
Bârlad,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	73,068	:	:	71,578	:	:	:	69,385	69,049	75,451 b	75,074	74,603	74,068	73,580	72,926	:	71,431 d	70,680 d	:
Roman,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	74,028	:	:	71,602	:	:	:	67,697	67,097	73,965 b	73,218	72,487	71,767	71,254	70,747	:	69,479 d	69,229 d	:
Bistrita,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	: b	:	:	92,448	92,892	93,415	:	93,950 d	94,139 d	:
Constanta,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	313,598	:	:	306,860	:	:	:	302,171	301,951	323,748 b	322,302	321,077	320,318	319,266	317,974	:	314,816 d	313,021 d	:
